[32m[I 2022-07-05 21:47:26,162][0m A new study created in RDB with name: optimizacion_riesgo[0m
[32m[I 2022-07-06 02:37:24,239][0m Trial 35 finished with value: 0.31167250432957094 and parameters: {'sigma': 5.795036160760831, 'a': 3.3083036163546877, 'strategy': 'mean', 'add_indicator': True, 'max_depth': 90, 'n_estimators': 1620, 'boosting_type': 'gbdt', 'num_leaves': 4, 'learning_rate': 1.3793542352772483e-06, 'min_split_gain': 4.271077886262563, 'min_child_samples': 6021, 'subsample': 0.8607305832563434, 'subsample_freq': 12, 'colsample_bytree': 0.5156398295517901, 'reg_alpha': 41.7411003148779, 'reg_lambda': 22.210781047073024}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:37:49,573][0m Trial 36 finished with value: 0.29180620171438454 and parameters: {'sigma': 2.397316148019983, 'a': 6.818541910932195, 'strategy': 'mean', 'add_indicator': False, 'max_depth': 97, 'n_estimators': 759, 'boosting_type': 'rf', 'num_leaves': 2, 'learning_rate': 0.00011164047352793713, 'min_split_gain': 5.026790232288615, 'min_child_samples': 129, 'subsample': 0.27864646423661144, 'subsample_freq': 690, 'colsample_bytree': 0.2471662717603027, 'reg_alpha': 14.48948720912231, 'reg_lambda': 48.9452760277563}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:38:23,838][0m Trial 37 finished with value: 0.0 and parameters: {'sigma': 19.713009225707474, 'a': 4.916899903078858, 'strategy': 'median', 'add_indicator': False, 'max_depth': 64, 'n_estimators': 1610, 'boosting_type': 'gbdt', 'num_leaves': 8, 'learning_rate': 1.5991003111214813e-07, 'min_split_gain': 5.908929431882418, 'min_child_samples': 2977, 'subsample': 0.016587828927856152, 'subsample_freq': 825, 'colsample_bytree': 0.23423081744595858, 'reg_alpha': 64.51727904094498, 'reg_lambda': 17.436642900499145}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:40:17,372][0m Trial 38 finished with value: 0.338252355229489 and parameters: {'sigma': 13.818757852671938, 'a': 7.796033391380694, 'strategy': 'mean', 'add_indicator': True, 'max_depth': 27, 'n_estimators': 1982, 'boosting_type': 'rf', 'num_leaves': 14, 'learning_rate': 2.92088083417809e-07, 'min_split_gain': 8.972157579533267, 'min_child_samples': 9103, 'subsample': 0.6331014572732679, 'subsample_freq': 672, 'colsample_bytree': 0.35571747886653426, 'reg_alpha': 72.59556788702393, 'reg_lambda': 89.71102599525771}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:42:36,870][0m Trial 39 finished with value: 0.3123039588420763 and parameters: {'sigma': 17.741729614438103, 'a': 15.619523362566714, 'strategy': 'constant', 'add_indicator': True, 'max_depth': 12, 'n_estimators': 1992, 'boosting_type': 'dart', 'num_leaves': 358, 'learning_rate': 0.00018188894230467833, 'min_split_gain': 2.242693094605598, 'min_child_samples': 3541, 'subsample': 0.23724908749680007, 'subsample_freq': 649, 'colsample_bytree': 0.7490264910668439, 'reg_alpha': 64.96328990472146, 'reg_lambda': 84.9223410494178}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:43:44,192][0m Trial 40 finished with value: 0.0 and parameters: {'sigma': 13.152261269877943, 'a': 11.409341206375885, 'strategy': 'median', 'add_indicator': True, 'max_depth': 90, 'n_estimators': 1895, 'boosting_type': 'rf', 'num_leaves': 146, 'learning_rate': 9.467055845337136e-07, 'min_split_gain': 7.224521152615053, 'min_child_samples': 407, 'subsample': 0.02431596643145384, 'subsample_freq': 1224, 'colsample_bytree': 0.18533957261297845, 'reg_alpha': 94.04585843529144, 'reg_lambda': 95.39285770025873}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:44:29,292][0m Trial 41 finished with value: 0.2920800451050215 and parameters: {'sigma': 18.29728865576507, 'a': 7.466158135083343, 'strategy': 'constant', 'add_indicator': True, 'max_depth': 31, 'n_estimators': 1158, 'boosting_type': 'rf', 'num_leaves': 266, 'learning_rate': 0.004794837252202717, 'min_split_gain': 6.96029796674973, 'min_child_samples': 1736, 'subsample': 0.09717649377076854, 'subsample_freq': 713, 'colsample_bytree': 0.9901533116032206, 'reg_alpha': 14.008401523652402, 'reg_lambda': 51.832965236373674}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:46:39,981][0m Trial 42 finished with value: 0.3163151499102971 and parameters: {'sigma': 17.54746266482839, 'a': 14.841295493308667, 'strategy': 'median', 'add_indicator': False, 'max_depth': 87, 'n_estimators': 2741, 'boosting_type': 'dart', 'num_leaves': 632, 'learning_rate': 0.0003234702813589576, 'min_split_gain': 7.95792669436101, 'min_child_samples': 8640, 'subsample': 0.3379951568515358, 'subsample_freq': 1030, 'colsample_bytree': 0.1030421204424603, 'reg_alpha': 57.8280140996174, 'reg_lambda': 3.5942273796742086}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:47:49,796][0m Trial 43 finished with value: 0.28970898876616785 and parameters: {'sigma': 9.311965706669021, 'a': 10.898628230680774, 'strategy': 'median', 'add_indicator': True, 'max_depth': 14, 'n_estimators': 1569, 'boosting_type': 'rf', 'num_leaves': 3, 'learning_rate': 1.813045093393148e-07, 'min_split_gain': 5.31354631568148, 'min_child_samples': 1498, 'subsample': 0.6374299014982066, 'subsample_freq': 1140, 'colsample_bytree': 0.9760935586679093, 'reg_alpha': 51.630034830119534, 'reg_lambda': 32.2956472941246}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:48:32,376][0m Trial 44 finished with value: 0.3120253974705943 and parameters: {'sigma': 15.903725943512125, 'a': 5.489561800115276, 'strategy': 'constant', 'add_indicator': True, 'max_depth': 42, 'n_estimators': 524, 'boosting_type': 'dart', 'num_leaves': 1153, 'learning_rate': 0.00019998014714101115, 'min_split_gain': 2.7993389694594284, 'min_child_samples': 11962, 'subsample': 0.7378969166957685, 'subsample_freq': 291, 'colsample_bytree': 0.6156035387720087, 'reg_alpha': 41.96000624277899, 'reg_lambda': 24.773098950115745}. Best is trial 27 with value: 0.3520222444267047.[0m
